steps,rewards
75,-331.6411140744475
179,-314.54895466240976
287,-57.85675172655255
387,-435.0569964287975
485,-202.60020080489204
584,-255.54673628255713
745,-309.62078372030993
1745,-145.26120090656758
2515,-295.2594121017828
2617,-250.10447528782785
2835,-285.9828847125689
3026,-329.3256758101106
3235,-272.9481394943776
3407,-327.22899483747153
3635,-183.19662296349756
3845,-271.815015432497
3978,-290.21202450523936
4075,-531.3632365789085
4256,-559.6068566812013
4400,-531.8144135307878
4624,-326.0735369720892
5016,-377.0591411237432
5256,-349.1944426276866
5498,-250.95019420548422
6302,-485.9286484846154
7302,-133.16322091353356
7875,-372.392211488659
8187,-135.75151275143392
8464,-328.6148458543995
8639,-180.5219787028206
9581,-468.5327124156403
10581,-105.81607827292827
11581,-97.56120603663537
12581,-100.50108437364423
13449,128.84655865776142
13633,-251.28142609064736
13927,-263.038638573177
14102,-15.018069248551981
14377,-73.76635042707952
15377,-75.20771671319274
16377,-85.07069265277536
17377,-78.38770048392547
18377,-148.1040473520017
19377,-132.32239724544942
20026,-166.81272771696376
21026,-136.86286569701858
21933,-257.15972701209444
22596,-207.34688286417776
23596,-120.22909479308291
23937,-123.48653340963475
24937,-128.81329041096134
25425,-111.83663989862552
26425,-124.25490854963451
26956,-154.61750745334518
27235,-105.18138258683199
28220,-308.86897922476624
28658,-199.6338730694025
28880,-111.10613951718737
29457,-224.00568185265456
30457,-147.781109796802
31457,-99.02489453484627
32457,-96.61463934889147
33457,-72.27621737847424
34457,-86.79600557992852
34621,-102.67438228856261
35621,-79.14749567902965
35751,-94.89701677918076
36732,-225.50659820806737
37732,-153.23400202470913
38732,-110.42933140143501
39732,-115.9044655669568
40152,-161.1171548814972
41152,-95.1231754567019
41301,-132.8005436870782
42301,-53.995229156529675
43301,-96.38230069099713
43571,-145.22015138757223
44571,-72.24244385955392
44703,-127.769830287016
44825,-143.17215377336592
45825,-65.20487361739002
46015,-119.63459187864977
47015,-48.22662025480378
48015,-49.13218272178806
49015,-36.48010307433403
50015,-60.34112651436032
51015,-28.23694409187955
52015,-66.32594266103631
53015,-81.6779308253562
54015,-24.459421630326982
54543,-225.28134832113489
55543,-53.245649875283135
56543,-24.672478314019262
56696,-130.89225011518226
57696,-47.402436118932165
58696,-32.26983628496923
59696,-101.2036820470179
60696,-39.134005445749274
60810,-148.74177621492578
61810,-75.36905548979328
62810,-81.48248820559711
63810,-13.096258764582522
64810,-41.10304373705377
65810,-18.924542506587798
66033,-53.59502772511773
66451,-107.97455739080564
67451,-100.01486830906119
68451,-61.951572718778465
69451,-80.92678485648949
70451,-130.8404109134145
71451,-55.43080526415454
72451,-97.52538238942851
72615,-44.72294971645698
73615,-69.652039354779
74369,-158.04633808759695
75369,-60.26060797862017
75440,-57.92464888046765
76440,-81.57099571122127
76677,256.1477989111564
77335,-157.09959298457653
78335,-96.19051794999162
78624,-67.63183998822686
79574,-279.29284287733356
80120,-104.04102604761935
81120,-112.35389878476435
81972,-153.07693345592764
82972,-142.06828281031335
83972,-110.35414426231355
84972,-98.8071757948855
85425,-129.79350804096356
85867,-134.39559738551802
86157,-105.4960728111186
86585,-99.42512509056166
86879,-94.7319273234451
87561,-172.23427657553418
87665,-124.34514506223942
88219,-38.40272903985857
88854,-194.34718661852466
89854,23.61838559331314
90854,-36.710271931168975
91485,-152.99371226821486
92485,-14.475900232700535
93406,-189.50133123900065
94406,-40.217109547791736
94609,-152.28390247230053
95003,-106.13142425425059
95306,-94.55063205591537
95578,-75.55675120136198
95868,-85.1028701763737
96868,-37.37900020059866
96949,-218.25500134878337
97033,-237.28265620272015
97450,-153.70829212449323
98450,-100.22916954453372
98696,-10.55318275284695
98869,-195.8707216144301
99016,-31.64257840635247
99423,-80.83002227582186
