steps,rewards
75,-331.48344273873545
179,-314.32603277034036
287,-57.73621276541024
387,-434.9046785810201
483,-182.59639376671072
551,-215.42569083170105
678,-298.96323596077565
852,-881.4731176198895
997,-182.9867229387835
1238,-517.2279672125425
1706,-312.0821243839175
1989,-352.3196164690275
2118,-478.9245561181468
2215,-392.0925339491629
2292,-585.4448185892543
2681,-270.7108324099615
3393,-223.8383506347919
3500,-84.73148149596206
3847,-32.4560599432281
4847,-177.88477229631448
5111,-206.50791196649712
5662,-244.6102912773149
5883,-221.74308942949153
6393,-97.33125415715702
7393,-128.7271212510375
7598,-274.4374748382863
8598,-85.4595802575865
9598,-159.32464710006903
10598,-106.5484592273702
11598,-109.16980726069961
12598,-113.91510524980494
13598,-95.94477794899193
13779,-1.8151343783273859
14779,-77.04619521798797
15779,-31.31398463184736
16779,-92.5881472163893
17779,-134.99061478181332
18779,-144.6386031983189
19779,-90.4777448424786
20779,-96.88617982839153
21779,-125.60928292108295
22779,-141.97816633080978
23779,-104.14805201907305
24208,-111.35313111269836
25208,-126.40198071308832
26208,-160.87022365074654
27208,-125.60572420702124
27510,-149.72540807594328
27706,-173.75061270244552
28706,-143.1846044637027
29383,-173.5026538954977
29503,-85.2399338271999
29666,-114.63175715139022
29886,-84.56692669907254
30271,-146.0745303349264
30392,-76.81979772599625
31392,-105.78252515284876
31779,-133.00277340811252
32223,-139.47995487287682
33223,-75.04312069919962
33338,-132.4175962878633
33971,-211.54179702698136
34971,-113.52966945275347
35085,-97.53765547692035
35269,-143.20199793068485
35966,-169.0904133561802
36717,117.02516476375146
37115,-127.8060680700803
37867,-200.31791815087706
38038,-124.23727890306318
39038,-75.52388324933037
39169,-104.7514034082137
40169,-15.625255316644937
40351,-131.75019665441965
40485,-87.85599194574158
41485,-139.30581833769614
42485,-128.3398333738242
42650,-146.90891522553866
43650,-89.99575385310996
44311,-122.06501528020141
45230,-239.6747658926878
46230,-115.95322226928955
47230,-60.04108199499003
48230,-101.94319718339564
49230,-31.851346222557858
50230,-56.34128974952506
50890,-132.6926581791916
51890,-129.18235731032198
52890,-122.69851771159355
53890,-117.52487790383617
54890,-30.47870072451087
55890,-110.10925740660205
56890,-88.96827981924918
57890,-35.00108503351923
58890,-10.535429269564794
59890,-101.15898829168606
60890,-105.17365444630816
61890,-100.74690534886088
62890,-102.45482707981274
63890,-91.69253407781919
64890,-99.49980620344185
65022,-179.44944630449015
66022,-83.79275630990357
67022,-97.58170284646175
68022,-103.15170642784476
68313,-160.89112865543544
69313,-80.00504229663638
70313,-114.75737230062023
71313,-62.59831873217268
72313,-85.71289133919453
73313,-66.19314298454623
74313,-71.43688307477922
75313,-81.59363562133122
76313,-51.88906706724082
77313,-63.803752027103506
78313,-85.5724081435045
79313,-75.93459148130205
80313,-62.94729776263366
80453,-88.77349764041682
81453,-81.7115949006427
82453,-66.15631671159488
83453,-88.63158096918309
84453,-106.63582394635355
84698,-115.70352405740536
85698,-68.75785836811463
86698,-74.10721862877938
87331,-108.44108228797732
88331,-64.77374213825347
88477,-40.615915533197814
89477,-113.05562517400345
90477,-43.37300802271654
91477,-98.76811601267248
92477,-66.01127196315736
93477,-83.70963788786624
93910,-67.8157398658588
94910,-59.81507625586742
95349,-249.7195141730779
95516,6.667952188024174
96516,-77.24461735660543
97516,-58.49897882287684
98003,-259.2843336972269
99003,-58.73302073237716
